"Marca","Modelo","Ano","Combustível","Tração","Preçoref"
"1","Audi","A6 4.2 Quattro Tiptronic","2008","Gasolina","AWD",112406
"2","Audi","A8 4.2 Quattro Tiptronic","2007","Gasolina","AWD",156342
"3","Audi","A8 4.2 Quattro Tiptronic","2008","Gasolina","AWD",164581
"4","Audi","A8 4.2 Quattro Tiptronic","2011","Gasolina","AWD",179950
"5","Audi","A8 4.2 Quattro Tiptronic","2012","Gasolina","AWD",223970
"6","Audi","A8 4.2 Quattro Tiptronic","2013","Gasolina","AWD",288749
"7","BMW","X5 3.0 4x4","2007","Gasolina","4x4",66913
"8","BMW","X5 3.0 4x4","2008","Gasolina","4x4",68800
"9","BMW","X5 3.0 4x4","2009","Gasolina","4x4",75287
"10","BMW","X5 3.0 4x4","2010","Gasolina","4x4",78787
"11","BMW","X5 4.8 4x4 V8 32V 360cv","2007","Gasolina","4x4",82477
"12","BMW","X5 4.8 4x4 V8 32V 360cv","2008","Gasolina","4x4",89311
"13","Dodge","Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies.","2007","Diesel","4x4",129128
"14","Dodge","Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies.","2008","Diesel","4x4",132744
"15","Dodge","Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies.","2009","Diesel","4x4",138520
"16","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2007","Flex","4x4",30230
"17","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2008","Flex","4x4",34254
"18","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2009","Flex","4x4",35230
"19","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2010","Flex","4x4",38745
"20","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2011","Flex","4x4",40655
"21","Ford","EcoSport 4WD 2.0/ 2.0 Flex 16V 5p","2012","Flex","4x4",42652
"22","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2007","Diesel","4x4",62854
"23","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2008","Diesel","4x4",64528
"24","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2009","Diesel","4x4",72754
"25","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2010","Diesel","4x4",75201
"26","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2011","Diesel","4x4",79516
"27","Ford","Ranger Limited 3.0 PSE 4x4 CD TB Diesel","2012","Diesel","4x4",81759
"28","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2007","Diesel","4x4",59476
"29","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2008","Diesel","4x4",61154
"30","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2009","Diesel","4x4",66016
"31","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2010","Diesel","4x4",69605
"32","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2011","Diesel","4x4",75344
"33","Ford","Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.","2012","Diesel","4x4",77469
"34","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2007","Diesel","4x4",62707
"35","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2008","Diesel","4x4",64463
"36","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2009","Diesel","4x4",72659
"37","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2010","Diesel","4x4",74709
"38","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2011","Diesel","4x4",78829
"39","Ford","Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.","2012","Diesel","4x4",81533
"40","GM - Chevrolet","S10 Blazer Colina 2.8 TDI 4x4 Diesel","2007","Diesel","4x4",58360
"41","GM - Chevrolet","S10 Blazer Colina 2.8 TDI 4x4 Diesel","2008","Diesel","4x4",61445
"42","GM - Chevrolet","S10 Blazer Colina 2.8 TDI 4x4 Diesel","2009","Diesel","4x4",64600
"43","GM - Chevrolet","S10 Blazer Colina 2.8 TDI 4x4 Diesel","2010","Diesel","4x4",73279
"44","GM - Chevrolet","S10 Blazer Executive 2.8 4x4 TDI Diesel","2007","Diesel","4x4",66451
"45","GM - Chevrolet","S10 Blazer Executive 2.8 4x4 TDI Diesel","2008","Diesel","4x4",70269
"46","GM - Chevrolet","S10 Blazer Executive 2.8 4x4 TDI Diesel","2009","Diesel","4x4",76261
"47","GM - Chevrolet","S10 Blazer Executive 2.8 4x4 TDI Diesel","2010","Diesel","4x4",78412
"48","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2007","Diesel","4x4",59533
"49","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2008","Diesel","4x4",61213
"50","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2009","Diesel","4x4",65899
"51","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2010","Diesel","4x4",67758
"52","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2011","Diesel","4x4",69926
"53","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.","2012","Diesel","4x4",71898
"54","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2007","Diesel","4x4",65034
"55","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2008","Diesel","4x4",70600
"56","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2009","Diesel","4x4",74382
"57","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2010","Diesel","4x4",76480
"58","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2011","Diesel","4x4",80070
"59","GM - Chevrolet","S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies","2012","Diesel","4x4",82802
"60","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2007","Diesel","4x4",63326
"61","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2008","Diesel","4x4",67725
"62","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2009","Diesel","4x4",70585
"63","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2010","Diesel","4x4",72577
"64","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2011","Diesel","4x4",74610
"65","GM - Chevrolet","S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.","2012","Diesel","4x4",76764
"66","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2007","Diesel","4x4",65339
"67","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2008","Diesel","4x4",67854
"68","GM - Chevrolet","S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies","2009","Diesel","4x4",70833
